สินค้า,OrderDate,ผู้ขาย,ลูกค้า,Qty,วิธีการชำระเงิน,Total
dvd หนัง,02/01/2024,sales ข,C00010,3,Cash,120
dvd หนัง,12/01/2024,sales ง,C00006,2,Cash,100
dvd หนัง,31/01/2024,sales ก,C00005,1,Cash,110
dvd หนัง,04/02/2024,sales ก,C00007,2,Cash,120
dvd หนัง,07/02/2024,sales ก,C00002,2,Credit,100
dvd หนัง,09/02/2024,sales จ,C00003,2,Cash,90
dvd หนัง,11/02/2024,sales ก,C00003,2,Cash,90
dvd หนัง,13/02/2024,sales ข,C00005,3,Cash,90
dvd หนัง,22/02/2024,sales จ,C00001,1,Credit,120
dvd หนัง,28/02/2024,sales ข,C00004,1,Cash,120
dvd หนัง,05/03/2024,sales จ,C00004,2,Cash,120
ของเล่น,04/01/2024,sales ง,C00014,1,Cash,100
ของเล่น,05/01/2024,sales ง,C00002,2,Cash,100
ของเล่น,06/01/2024,sales ง,C00010,1,Cash,100
ของเล่น,07/01/2024,sales ข,C00001,1,Credit,100
